crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense	Zlib
portable-atomic@1.15.0	X									X
portable-atomic-util@0.2.7	X									X
potential_utf@0.1.5											X
ppv-lite86@0.2.21	X									X
proc-macro2@1.0.107	X									X
prost@0.14.4	X
prost-derive@0.14.4	X
quanta@0.12.6										X
quick-xml@0.38.4										X
quote@1.0.47	X									X
r-efi@5.3.0	X								X	X
r-efi@6.0.0	X								X	X
radium@0.7.0										X
rand@0.9.5	X									X
rand_chacha@0.9.0	X									X
rand_core@0.9.5	X									X
rand_xoshiro@0.7.0	X									X
rapidhash@4.5.1	X									X
raw-cpuid@11.6.0										X
redox_syscall@0.5.18										X
regex@1.13.1	X									X
regex-automata@0.4.18	X									X
regex-syntax@0.8.11	X									X
reqwest@0.12.28	X									X
ring@0.17.14	X							X
rustc_version@0.4.1	X									X
rustix@1.1.4	X	X								X
rustls@0.23.43	X							X		X
rustls-pki-types@1.15.1	X									X
rustls-webpki@0.103.14								X
rustversion@1.0.23	X									X
ryu@1.0.23	X				X
scopeguard@1.2.0	X									X
semver@1.0.28	X									X
serde@1.0.229	X									X
serde_core@1.0.229	X									X
serde_derive@1.0.229	X									X
serde_json@1.0.151	X									X
serde_path_to_error@0.1.20	X									X
serde_urlencoded@0.7.1	X									X
serde_yaml_ng@0.10.0										X
shlex@2.0.1	X									X
signal-hook-registry@1.4.8	X									X
simdutf8@0.1.5	X									X
sketches-ddsketch@0.3.1	X
slab@0.4.12										X
smallvec@1.15.2	X									X
snafu@0.8.9	X									X
snafu-derive@0.8.9	X									X
socket2@0.6.5	X									X
stable_deref_trait@1.2.1	X									X
strsim@0.11.1										X
structmeta@0.3.0	X									X
structmeta-derive@0.3.0	X									X
strum@0.26.3										X
strum_macros@0.26.4										X
subtle@2.6.1				X
syn@2.0.119	X									X
syn@3.0.3	X									X
sync_wrapper@1.0.2	X
synstructure@0.13.2										X
tap@1.0.1										X
tempfile@3.27.0	X									X
thiserror@1.0.69	X									X
thiserror@2.0.20	X									X
thiserror-impl@1.0.69	X									X
thiserror-impl@2.0.20	X									X
tiny-keccak@2.0.2						X
tinystr@0.8.3											X
tokio@1.53.1										X
tokio-macros@2.7.2										X
tokio-rustls@0.26.4	X									X
tokio-util@0.7.19										X
tower@0.5.3										X
tower-http@0.6.11										X
tower-layer@0.3.3										X
tower-service@0.3.3										X
tracing@0.1.44										X
tracing-core@0.1.36										X
try-lock@0.2.5										X
twox-hash@2.1.3										X
typenum@1.20.1	X									X
unicode-ident@1.0.24	X									X	X
unsafe-libyaml@0.2.11										X
untrusted@0.9.0								X
url@2.5.8	X									X
utf8_iter@1.0.4	X									X
utf8parse@0.2.2	X									X
utoipa@5.5.0	X									X
utoipa-axum@0.2.0	X									X
utoipa-gen@5.5.0	X									X
uuid@1.24.0	X									X
value-bag@1.13.2	X									X
version_check@0.9.5	X									X
want@0.3.1										X
wasi@0.11.1+wasi-snapshot-preview1	X	X								X
wasip2@1.0.1+wasi-0.2.4	X	X								X
wasm-bindgen@0.2.127	X									X
wasm-bindgen-futures@0.4.77	X									X
wasm-bindgen-macro@0.2.127	X									X
wasm-bindgen-macro-support@0.2.127	X									X
wasm-bindgen-shared@0.2.127	X									X
wasm-streams@0.4.2	X									X
web-sys@0.3.104	X									X
webpki-roots@1.0.9							X
winapi@0.3.9	X									X
winapi-i686-pc-windows-gnu@0.4.0	X									X
winapi-x86_64-pc-windows-gnu@0.4.0	X									X
windows-core@0.62.2	X									X
windows-implement@0.60.2	X									X
windows-interface@0.59.3	X									X
windows-link@0.2.1	X									X
windows-result@0.4.1	X									X
windows-strings@0.5.1	X									X
windows-sys@0.52.0	X									X
windows-sys@0.61.2	X									X
windows-targets@0.52.6	X									X
windows_aarch64_gnullvm@0.52.6	X									X
windows_aarch64_msvc@0.52.6	X									X
windows_i686_gnu@0.52.6	X									X
windows_i686_gnullvm@0.52.6	X									X
windows_i686_msvc@0.52.6	X									X
windows_x86_64_gnu@0.52.6	X									X
windows_x86_64_gnullvm@0.52.6	X									X
windows_x86_64_msvc@0.52.6	X									X
wit-bindgen@0.46.0	X	X								X
writeable@0.6.3											X
wyz@0.5.1										X
yoke@0.8.3											X
yoke-derive@0.8.2											X
zerocopy@0.8.56	X		X							X
zerocopy-derive@0.8.56	X		X							X
zerofrom@0.1.8											X
zerofrom-derive@0.1.7											X
zeroize@1.9.0	X									X
zerotrie@0.2.4											X
zerovec@0.11.6											X
zerovec-derive@0.11.3											X
zmij@1.0.23										X
zstd@0.13.3										X
zstd-safe@7.2.4	X									X
zstd-sys@2.0.16+zstd.1.5.7	X									X
